,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,accessed_cat,create_cat,open_cat,update_cat
0,2017-10-18 10:15:16,1AB,0.0,0.0,1.0,1.0,0.0,0.0,low,low,low,low
1,2017-10-18 10:20:11,1AB,0.0,0.0,1.0,1.0,0.0,0.0,low,high,low,low
2,2017-10-18 10:25:04,1AB,0.0,0.0,1.0,0.5,1.0,1.0,low,low,low,low
3,2017-10-18 10:30:19,1AB,0.0,0.5,1.0,0.5,1.0,0.5,low,low,low,low
4,2017-10-18 10:35:21,1AB,0.0,0.5,1.0,1.0,0.0,0.0,low,low,low,low
5,2017-10-18 10:40:15,1AB,0.5,0.5,1.0,1.0,0.0,0.0,low,low,low,low
6,2017-10-18 10:45:03,1AB,0.5,0.5,1.0,1.0,1.0,0.5,high,low,low,low
7,2017-10-18 10:50:28,1AB,0.0,0.5,1.0,1.0,1.0,1.0,low,low,low,low
8,2017-10-18 10:55:23,1AB,1.0,0.5,1.0,1.0,0.0,0.5,low,low,low,low
9,2017-10-18 11:00:04,1AB,0.5,0.5,1.0,1.0,0.0,0.5,low,low,low,low
10,2017-10-18 11:04:56,1AB,0.5,0.5,1.0,1.0,0.5,0.0,low,low,low,low
11,2017-10-18 11:10:23,1CD,0.0,0.0,0.0,1.0,0.0,0.0,low,low,low,low
12,2017-10-18 11:15:11,1CD,0.0,0.0,1.0,0.5,0.5,0.0,low,high,low,low
13,2017-10-18 11:20:09,1CD,1.0,0.0,1.0,0.5,0.0,0.5,low,low,low,low
14,2017-10-18 11:25:03,1CD,1.0,0.0,1.0,0.5,0.5,0.0,low,low,low,low
15,2017-10-18 11:29:46,1CD,0.0,0.5,1.0,0.5,1.0,0.0,high,low,low,low
16,2017-10-18 11:35:05,1CD,1.0,0.0,1.0,0.5,1.0,1.0,high,low,low,low
17,2017-10-18 11:39:33,1CD,1.0,1.0,1.0,0.5,1.0,1.0,low,low,low,low
18,2017-10-18 11:44:42,1CD,1.0,0.5,1.0,1.0,0.0,1.0,low,low,low,low
19,2017-10-18 11:45:53,1CD,1.0,1.0,0.0,0.0,0.0,0.0,low,low,low,low
20,2017-10-18 12:09:36,1GF,0.0,0.0,1.0,1.0,0.0,1.0,low,high,high,high
21,2017-10-18 12:12:27,1GF,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
22,2017-10-18 12:16:45,1GF,0.0,0.0,1.0,1.0,1.0,0.5,low,low,low,low
23,2017-10-18 12:22:50,1GF,0.0,0.5,0.0,1.0,0.0,1.0,low,low,low,low
24,2017-10-18 12:32:37,1GF,0.0,1.0,1.0,1.0,1.0,1.0,low,high,high,low
25,2017-10-18 12:39:45,1GF,0.0,1.0,1.0,1.0,1.0,0.0,low,low,low,low
26,2017-10-18 12:47:50,1GF,0.0,0.0,1.0,1.0,0.0,1.0,low,low,low,low
27,2017-10-18 13:02:30,1HI,0.0,0.5,1.0,1.0,1.0,1.0,low,low,low,low
28,2017-10-18 13:09:02,1HI,0.0,0.0,1.0,1.0,1.0,1.0,low,low,low,low
29,2017-10-18 13:15:18,1HI,0.0,1.0,1.0,1.0,1.0,0.5,high,low,low,low
30,2017-10-18 13:22:29,1HI,0.0,1.0,1.0,0.5,1.0,1.0,low,low,low,low
31,2017-10-18 13:34:40,1HI,0.0,1.0,1.0,0.5,1.0,1.0,low,low,low,low
32,2017-10-18 10:12:49,2ABC,0.0,0.0,0.0,0.667,0.0,0.667,low,low,low,low
33,2017-10-18 10:18:14,2ABC,0.0,1.0,0.5,1.0,0.5,0.5,low,high,low,low
34,2017-10-18 10:24:46,2ABC,0.0,0.667,0.33299999999999996,1.0,1.0,0.33299999999999996,low,low,low,low
35,2017-10-18 10:29:13,2ABC,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,low,low,high,high
36,2017-10-18 10:33:42,2ABC,0.0,0.0,0.667,0.33299999999999996,0.0,0.667,low,low,low,low
37,2017-10-18 10:39:13,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,low,low,low,low
38,2017-10-18 10:42:41,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,low,low,low,low
39,2017-10-18 10:50:47,2ABC,0.0,0.0,0.667,0.0,0.667,0.0,low,high,low,low
40,2017-10-18 10:53:49,2ABC,0.0,0.0,0.667,0.667,0.33299999999999996,0.0,low,low,low,low
41,2017-10-18 10:57:43,2ABC,0.0,0.0,0.0,0.0,0.667,0.0,low,low,low,low
42,2017-10-18 11:13:19,2ABC,0.0,0.5,0.5,0.5,0.0,0.0,low,low,low,low
43,2017-10-18 11:36:13,2ABC,0.0,1.0,1.0,1.0,1.0,0.5,low,low,low,low
44,2017-10-18 10:46:46,2ABC,0.5,0.0,0.0,0.5,0.0,0.5,low,low,low,low
45,2017-10-18 11:13:19,2DE,0.0,0.5,0.5,0.5,0.0,0.0,low,low,low,low
46,2017-10-18 11:19:28,2DE,0.0,0.0,0.5,0.5,1.0,1.0,low,low,low,low
47,2017-10-18 11:25:16,2DE,0.0,0.0,1.0,1.0,1.0,0.0,low,low,low,low
48,2017-10-18 11:36:13,2DE,0.0,1.0,1.0,1.0,1.0,0.5,low,high,low,low
49,2017-10-18 11:43:11,2DE,0.0,1.0,1.0,0.0,1.0,1.0,low,low,low,low
50,2017-10-18 11:49:21,2DE,0.0,1.0,1.0,0.0,1.0,0.0,low,low,low,low
51,2017-10-18 12:09:36,2FGH,0.0,0.667,1.0,0.33299999999999996,1.0,0.33299999999999996,low,low,low,low
52,2017-10-18 12:12:27,2FGH,0.0,1.0,1.0,0.667,1.0,0.33299999999999996,low,low,low,low
53,2017-10-18 12:16:45,2FGH,0.0,0.33299999999999996,1.0,0.667,0.667,0.33299999999999996,low,low,low,low
54,2017-10-18 12:22:50,2FGH,0.0,0.667,1.0,0.667,0.33299999999999996,0.33299999999999996,low,low,low,low
55,2017-10-18 12:32:37,2FGH,0.0,0.667,0.667,0.33299999999999996,0.33299999999999996,0.667,low,low,low,low
56,2017-10-18 12:39:45,2FGH,0.0,1.0,1.0,0.33299999999999996,1.0,0.33299999999999996,low,low,low,low
57,2017-10-18 12:47:50,2FGH,0.0,0.33299999999999996,0.667,0.33299999999999996,0.667,0.667,high,low,low,low
58,2017-10-18 13:02:30,2FGH,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
59,2017-10-18 13:09:02,2IJ,0.0,1.0,1.0,1.0,1.0,0.5,low,low,low,low
60,2017-10-18 13:15:18,2IJ,0.0,1.0,1.0,0.0,1.0,1.0,low,low,low,low
61,2017-10-18 13:22:29,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,low,low,low,low
62,2017-10-18 13:34:40,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,low,low,low,low
63,2017-10-18 13:02:30,2IJ,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
64,2017-10-18 11:19:28,3AB,0.0,0.5,0.5,0.0,1.0,1.0,high,high,low,low
65,2017-10-18 11:25:16,3AB,0.0,1.0,1.0,0.0,1.0,0.0,low,low,low,low
66,2017-10-18 11:43:11,3AB,0.0,1.0,1.0,0.0,1.0,0.0,low,low,low,low
67,2017-10-18 11:49:21,3AB,0.0,0.0,1.0,0.5,1.0,0.0,low,high,low,low
68,2017-10-18 12:55:35,3CD,1.0,0.0,1.0,1.0,0.0,0.5,high,low,low,low
69,2017-10-18 13:00:06,3CD,0.5,0.5,1.0,1.0,0.0,1.0,low,low,low,low
70,2017-10-18 13:05:02,3CD,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
71,2017-10-18 13:10:15,3CD,0.5,1.0,1.0,1.0,0.0,0.5,low,low,low,low
72,2017-10-18 13:15:04,3CD,1.0,0.5,1.0,1.0,0.5,1.0,low,high,high,low
73,2017-10-18 13:19:13,3CD,0.5,0.5,1.0,0.5,1.0,1.0,low,low,low,low
74,2017-10-18 13:23:34,3CD,0.5,1.0,1.0,1.0,0.5,1.0,low,low,low,low
75,2017-10-18 13:30:29,3CD,1.0,1.0,1.0,1.0,1.0,0.0,low,low,low,low
76,2017-10-18 13:34:46,3CD,0.5,1.0,1.0,0.5,1.0,0.0,low,low,low,low
